ID,GeneName,GeneID,UniProtID,STRING_ID
0,ARF5,381,,9606.ENSP00000000233
1,M6PR,4074,,9606.ENSP00000000412
2,FKBP4,2288,,9606.ENSP00000001008
3,CYP26B1,56603,,9606.ENSP00000001146
4,FUCA2,2519,,9606.ENSP00000002165
5,HS3ST1,9957,,9606.ENSP00000002596
6,SEMA3F,6405,,9606.ENSP00000002829
7,CFTR,1080,P13569,9606.ENSP00000003084
8,CYP51A1,1595,Q16850,9606.ENSP00000003100
9,USP28,57646,,9606.ENSP00000003302
10,CAT-2,173411,,9606.ENSP00000004531
11,SLC7A2,6542,P52569,9606.ENSP00000004531
12,HSPB6,126393,,9606.ENSP00000004982
13,PDK4,5166,Q16654,9606.ENSP00000005178
14,USH1C,10083,,9606.ENSP00000005226
15,RALA,5898,,9606.ENSP00000005257
16,BAIAP2L1,55971,,9606.ENSP00000005260
17,CACNG3,10368,O60359,9606.ENSP00000005284
18,GBP,,Q8I6U8,9606.ENSP00000005286
19,TMEM132A,54972,,9606.ENSP00000005286
20,DVL2,1856,,9606.ENSP00000005340
21,SKAP2,8935,,9606.ENSP00000005587
22,PRSS21,10942,,9606.ENSP00000005995
23,HOXA11,3207,,9606.ENSP00000006015
24,CX3CL1,6376,,9606.ENSP00000006053
25,CEACAM7,1087,,9606.ENSP00000006724
26,RHBDD2,57414,,9606.ENSP00000006777
27,TFAP2D,83741,,9606.ENSP00000008391
28,CRY1,1407,,9606.ENSP00000008527
29,PGLYRP1,8993,,9606.ENSP00000008938
30,CAMK1G,57172,Q96NX5,9606.ENSP00000009105
31,CD74,972,,9606.ENSP00000009530
32,CPA1,1357,,9606.ENSP00000011292
33,SYPL1,6856,,9606.ENSP00000011473
34,RANBP9,10048,,9606.ENSP00000011619
35,CD4,920,,9606.ENSP00000011653
36,TSPAN9,10867,,9606.ENSP00000011898
37,QPCTL,54814,,9606.ENSP00000012049
38,PPP5C,5536,P53041,9606.ENSP00000012443
39,MAP4K5,11183,Q9Y4K4,9606.ENSP00000013125
40,INMT,11185,,9606.ENSP00000013222
41,ERCC1,2067,,9606.ENSP00000013807
42,GPRC5A,9052,Q8NFJ5,9606.ENSP00000014914
43,HEBP1,50865,,9606.ENSP00000014930
44,COX15,1355,,9606.ENSP00000016171
45,MS4A12,54860,,9606.ENSP00000016913
46,XYLT2,64132,,9606.ENSP00000017003
47,SCTR,6344,,9606.ENSP00000019103
48,SYT13,57586,,9606.ENSP00000020926
49,SNAI2,6591,,9606.ENSP00000020945
50,SLC7A9,11136,,9606.ENSP00000023064
51,RB1CC1,9821,,9606.ENSP00000025008
52,AKAP11,11215,,9606.ENSP00000025301
53,PIGQ,9091,,9606.ENSP00000026218
54,CDH17,1015,,9606.ENSP00000027335
55,B4GALT7,11285,,9606.ENSP00000029410
56,GABARAPL2,11345,,9606.ENSP00000037243
57,MYOC,4653,,9606.ENSP00000037502
58,OTC,5009,,9606.ENSP00000039007
59,HOXC8,3224,,9606.ENSP00000040584
60,TARBP1,6894,,9606.ENSP00000040877
61,TRM3,,F5HCU8,9606.ENSP00000040877
62,RTN4R,65078,,9606.ENSP00000043402
63,PSMA4,5685,,9606.ENSP00000044462
64,FAM65C,428169,,9606.ENSP00000045083
65,RIPOR3,140876,,9606.ENSP00000045083
66,LCP2,3937,,9606.ENSP00000046794
67,DCN,1634,,9606.ENSP00000052754
68,TNFRSF17,608,,9606.ENSP00000053243
69,GUCA1A,2978,,9606.ENSP00000053469
70,GRN,2896,,9606.ENSP00000053867
71,VAMP3,9341,,9606.ENSP00000054666
72,UTS2,10911,,9606.ENSP00000054668
73,RCN1,5954,,9606.ENSP00000054950
74,RFC2,5982,,9606.ENSP00000055077
75,NEXMIF,340533,,9606.ENSP00000055682
76,ARHGEF5,7984,,9606.ENSP00000056217
77,NFE2L3,9603,,9606.ENSP00000056233
78,TLL1,7092,,9606.ENSP00000061240
79,CBLN4,140689,,9606.ENSP00000064571
80,CLDN11,5010,,9606.ENSP00000064724
81,FAM168A,23201,,9606.ENSP00000064778
82,PKP2,5318,,9606.ENSP00000070846
83,INPP4A,3631,,9606.ENSP00000074304
84,SLC2A3,6515,,9606.ENSP00000075120
85,STYK1,55359,,9606.ENSP00000075503
86,GNA11,2767,,9606.ENSP00000078429
87,CREB3L3,84699,,9606.ENSP00000078445
88,HDAC7,51564,Q8WUI4,9606.ENSP00000080059
89,APPBP2,10513,,9606.ENSP00000083182
90,CA11,770,O75493,9606.ENSP00000084798
91,ISOC2,79763,,9606.ENSP00000085068
92,CD22,933,,9606.ENSP00000085219
93,GSC2,,P40989,9606.ENSP00000086933
94,KCNQ1,3784,P51787,9606.ENSP00000155840
95,TRPM5,29850,,9606.ENSP00000155858
96,TRIB2,28951,,9606.ENSP00000155926
97,OTUD5,55593,,9606.ENSP00000156084
98,GPKOW,27238,,9606.ENSP00000156109
99,ST6GALNAC1,55808,,9606.ENSP00000156626
100,LMCD1,29995,,9606.ENSP00000157600
101,PSMC4,,,9606.ENSP00000157812
102,DERL2,51009,,9606.ENSP00000158771
103,NOX3,50508,,9606.ENSP00000159060
104,ANO8,57719,,9606.ENSP00000159087
105,KDM4B,23030,,9606.ENSP00000159111
106,ICAM3,3385,,9606.ENSP00000160262
107,CTTNBP2,83992,,9606.ENSP00000160373
108,ACTL6B,51412,,9606.ENSP00000160382
109,KIF22,3835,,9606.ENSP00000160827
110,PRSS22,64063,,9606.ENSP00000161006
111,CEACAM1,634,,9606.ENSP00000161559
112,YTHDC2,64848,,9606.ENSP00000161863
113,FOXJ2,55810,,9606.ENSP00000162391
114,TNFRSF1A,7132,,9606.ENSP00000162749
115,GOLGA5,9950,,9606.ENSP00000163416
116,CELSR3,1951,,9606.ENSP00000164024
117,PPP2R5B,5526,,9606.ENSP00000164133
118,PYGM,5837,,9606.ENSP00000164139
119,BCL3,602,,9606.ENSP00000164227
120,PIGB,,,9606.ENSP00000164305
121,PRLH,51052,,9606.ENSP00000165524
122,FSTL3,10272,,9606.ENSP00000166139
123,EPHA8,2046,P29322,9606.ENSP00000166244
124,TRIP13,9319,,9606.ENSP00000166345
125,VASH1,22846,,9606.ENSP00000167106
126,KRT14,3861,P02533,9606.ENSP00000167586
127,KRT20,54474,,9606.ENSP00000167588
128,SPP2,6694,,9606.ENSP00000168148
129,HSD17B10,3028,,9606.ENSP00000168216
130,FGF4,2249,P08620,9606.ENSP00000168712
131,ST6GAL1,6480,,9606.ENSP00000169298
132,REXO1,57455,,9606.ENSP00000170168
133,MKRN2,23609,,9606.ENSP00000170447
134,GPATCH1,55094,,9606.ENSP00000170564
135,P2RY10,,O00398,9606.ENSP00000171757
136,TNS1,7145,,9606.ENSP00000171887
137,NGFR,4804,,9606.ENSP00000172229
138,NTN1,9423,,9606.ENSP00000173229
139,ISOC1,51015,,9606.ENSP00000173527
140,TRO,7216,,9606.ENSP00000173898
141,MNT,4335,,9606.ENSP00000174618
142,ADAM7,8756,,9606.ENSP00000175238
143,PTPN18,26469,,9606.ENSP00000175756
144,DRD4,1815,P21917,9606.ENSP00000176183
145,SCT,6343,,9606.ENSP00000176195
146,STK10,6793,O94804,9606.ENSP00000176763
147,TBX21,30009,,9606.ENSP00000177694
148,MRPS34,65993,,9606.ENSP00000177742
149,CA12,771,O43570,9606.ENSP00000178638
150,MAP2K5,5607,Q13163,9606.ENSP00000178640
151,TIGAR,57103,,9606.ENSP00000179259
152,FGF20,26281,,9606.ENSP00000180166
153,CPB2,1361,,9606.ENSP00000181383
154,FAM107B,83641,,9606.ENSP00000181796
155,CDK13,8621,,9606.ENSP00000181839
156,TSPAN32,10077,,9606.ENSP00000182290
157,ROPN1,54763,,9606.ENSP00000184183
158,HEATR6,63897,,9606.ENSP00000184956
159,ERLEC1,27248,,9606.ENSP00000185150
160,TMEM131,23505,,9606.ENSP00000186436
161,TMEM38A,79041,,9606.ENSP00000187762
162,FAP,2191,,9606.ENSP00000188790
163,DMRT3,58524,,9606.ENSP00000190165
164,GAL3ST2,64090,,9606.ENSP00000192314
165,UHRF1BP1,54887,,9606.ENSP00000192788
166,OSTM1,28962,,9606.ENSP00000193322
167,IMPG2,50939,,9606.ENSP00000193391
168,HSPB11,51668,,9606.ENSP00000194214
169,PLOD1,5351,Q02809,9606.ENSP00000196061
170,OXCT1,5019,P55809,9606.ENSP00000196371
171,PILRA,29992,,9606.ENSP00000198536
172,RRN3,54700,,9606.ENSP00000198767
173,MOGAT2,80168,,9606.ENSP00000198801
174,AQP2,359,,9606.ENSP00000199280
175,DIMT1,27292,,9606.ENSP00000199320
176,EIF2AK1,27102,Q9BQI3,9606.ENSP00000199389
177,NME8,51314,,9606.ENSP00000199447
178,EPDR1,54749,,9606.ENSP00000199448
179,HBQ1,3049,,9606.ENSP00000199708
180,CEACAM6,4680,,9606.ENSP00000199764
181,HSD17B2,3294,P37059,9606.ENSP00000199936
182,ZW10,9183,,9606.ENSP00000200135
183,ITGB4,3691,,9606.ENSP00000200181
184,PPP1R15A,23645,,9606.ENSP00000200453
185,TRIP6,7205,,9606.ENSP00000200457
186,ADAM11,4185,,9606.ENSP00000200557
187,SLC22A4,6583,Q9H015,9606.ENSP00000200652
188,CETP,1071,,9606.ENSP00000200676
189,MT3,4504,P25713,9606.ENSP00000200691
190,TFAP2C,7022,,9606.ENSP00000201031
191,SULT2B1,6820,O00204,9606.ENSP00000201586
192,REM1,28954,,9606.ENSP00000201979
193,PDRG1,81572,,9606.ENSP00000202017
194,PPP1R13B,23368,,9606.ENSP00000202556
195,TGM6,343641,O95932,9606.ENSP00000202625
196,SIRT4,23409,,9606.ENSP00000202967
197,TRMT6,51605,,9606.ENSP00000203001
198,UQCRC1,7384,,9606.ENSP00000203407
199,GMIP,51291,,9606.ENSP00000203556
200,LAG3,3902,,9606.ENSP00000203629
201,MLF2,8079,,9606.ENSP00000203630
202,OTUB2,78990,,9606.ENSP00000203664
203,TFAP4,7023,,9606.ENSP00000204517
204,PDCD7,10081,,9606.ENSP00000204549
205,SPG21,51324,,9606.ENSP00000204566
206,EFNB1,1947,,9606.ENSP00000204961
207,GLG1,2734,,9606.ENSP00000205061
208,DLL3,10683,,9606.ENSP00000205143
209,DLD,1738,P09622,9606.ENSP00000205402
210,ABCC6,368,O95255,9606.ENSP00000205557
211,CMTM6,54918,,9606.ENSP00000205636
212,APOH,350,,9606.ENSP00000205948
213,RGS17,26575,,9606.ENSP00000206262
214,CCDC80,151887,,9606.ENSP00000206423
215,CEBPE,1053,,9606.ENSP00000206513
216,OSGEP,55644,,9606.ENSP00000206542
217,TGM1,7051,P22735,9606.ENSP00000206765
218,UNC13D,201294,,9606.ENSP00000207549
219,XYLB,9942,,9606.ENSP00000207870
220,ADH1A,124,P07327,9606.ENSP00000209668
221,KRT23,25984,,9606.ENSP00000209718
222,CDC6,990,,9606.ENSP00000209728
223,AAAS,8086,,9606.ENSP00000209873
224,CBX5,23468,,9606.ENSP00000209875
225,FMO2,2327,,9606.ENSP00000209929
226,DHPS,1725,,9606.ENSP00000210060
227,RAB26,25837,,9606.ENSP00000210187
228,PSMD5,,,9606.ENSP00000210313
229,NANS,54187,,9606.ENSP00000210444
230,TPSD1,23430,,9606.ENSP00000211076
231,GSTA3,2940,,9606.ENSP00000211122
232,MAPK13,5603,O15264,9606.ENSP00000211287
233,TMEM14A,28978,,9606.ENSP00000211314
234,PRRT1,80863,,9606.ENSP00000211413
235,ZNF184,7738,,9606.ENSP00000211936
236,VCL,7414,,9606.ENSP00000211998
237,SIRT1,23411,,9606.ENSP00000212015
238,TGFBR3,7049,,9606.ENSP00000212355
239,MZF1,7593,,9606.ENSP00000215057
240,PSMD8,5714,,9606.ENSP00000215071
241,STX1B,112755,,9606.ENSP00000215095
242,EFNA2,1943,,9606.ENSP00000215368
243,ATP5F1D,513,P30049,9606.ENSP00000215375
244,FGF22,27006,,9606.ENSP00000215530
245,NDUFB7,4713,,9606.ENSP00000215565
246,CDC34,997,,9606.ENSP00000215574
247,MISP,,,9606.ENSP00000215582
248,GADD45B,4616,,9606.ENSP00000215631
249,MADCAM1,8174,,9606.ENSP00000215637
250,MAPK12,6300,P53778,9606.ENSP00000215659
251,SERPIND1,3053,P05546,9606.ENSP00000215727
252,SNAP29,9342,,9606.ENSP00000215730
253,MMP11,4320,,9606.ENSP00000215743
254,MIF,4282,,9606.ENSP00000215754
255,OSM,5008,,9606.ENSP00000215781
256,USP18,11274,,9606.ENSP00000215794
257,SEC14L3,266629,Q9UDX4,9606.ENSP00000215812
258,SNRPD3,6634,,9606.ENSP00000215829
259,MAPK1,5594,P28482,9606.ENSP00000215832
260,TCN2,6948,,9606.ENSP00000215838
261,SEA,6395,,9606.ENSP00000215882
262,SLC25A1,6576,,9606.ENSP00000215882
263,PLA2G3,50487,,9606.ENSP00000215885
264,LGALS2,3957,,9606.ENSP00000215886
265,PDXP,57026,Q96GD0,9606.ENSP00000215904
266,LGALS1,3956,P09382,9606.ENSP00000215909
267,PIK3IP1,113791,,9606.ENSP00000215912
268,CENPM,79019,,9606.ENSP00000215980
269,DMC1,11144,,9606.ENSP00000216024
270,XBP1,7494,,9606.ENSP00000216037
271,RTCB,51493,,9606.ENSP00000216038
272,GTPBP1,9567,,9606.ENSP00000216044
273,DNAL4,10126,,9606.ENSP00000216068
274,MIOX,55586,,9606.ENSP00000216075
275,RHBDD3,25807,,9606.ENSP00000216085
276,RASL10A,10633,,9606.ENSP00000216101
277,HMGXB4,10042,,9606.ENSP00000216106
278,BIK,638,,9606.ENSP00000216115
279,HMOX1,3162,P09601,9606.ENSP00000216117
280,MCM5,4174,,9606.ENSP00000216122
281,ARSA,410,P15289,9606.ENSP00000216124
282,CBX7,23492,,9606.ENSP00000216133
283,ACR,49,,9606.ENSP00000216139
284,TAB1,10454,,9606.ENSP00000216160
285,PNPLA3,80339,,9606.ENSP00000216180
286,MYH9,4627,P35579,9606.ENSP00000216181
287,TXN2,25828,,9606.ENSP00000216185
288,EIF3D,8664,,9606.ENSP00000216190
289,PVALB,5816,,9606.ENSP00000216200
290,UPK3A,7380,,9606.ENSP00000216211
291,FAM118A,55007,,9606.ENSP00000216214
292,ST13,6767,,9606.ENSP00000216218
293,IL2RB,3560,,9606.ENSP00000216223
294,RBX1,9978,,9606.ENSP00000216225
295,L3MBTL2,83746,,9606.ENSP00000216237
296,CHADL,150356,,9606.ENSP00000216241
297,PHF5A,84844,,9606.ENSP00000216252
298,ACO2,50,,9606.ENSP00000216254
299,PMM1,5372,,9606.ENSP00000216259
300,CERK,64781,,9606.ENSP00000216264
301,HDAC10,83933,Q969S8,9606.ENSP00000216271
302,RIPK3,11035,,9606.ENSP00000216274
303,PAPOLA,10914,,9606.ENSP00000216277
304,NID2,22795,,9606.ENSP00000216286
305,FKBP3,2287,,9606.ENSP00000216330
306,CTSG,1511,,9606.ENSP00000216336
307,GZMH,2999,,9606.ENSP00000216338
308,GZMB,3002,,9606.ENSP00000216341
309,COCH,1690,,9606.ENSP00000216361
310,POLE2,,P56282,9606.ENSP00000216367
311,SOS2,6655,,9606.ENSP00000216373
312,PYGL,5836,P06737,9606.ENSP00000216392
313,CGRRF1,10668,,9606.ENSP00000216420
314,ATP6V1D,51382,Q9Y5K8,9606.ENSP00000216442
315,vatD,,P50870,9606.ENSP00000216442
316,PLEK2,26499,,9606.ENSP00000216446
317,PIGH,,,9606.ENSP00000216452
318,PSMA3,5684,,9606.ENSP00000216455
319,AHSA1,10598,,9606.ENSP00000216479
320,SPTLC2,9517,O15270,9606.ENSP00000216484
321,RIN3,79890,,9606.ENSP00000216487
322,ALKBH1,8846,,9606.ENSP00000216489
323,CHGA,1113,,9606.ENSP00000216492
324,DHRS7,51635,,9606.ENSP00000216500
325,SIX4,51804,,9606.ENSP00000216513
326,SLC10A1,6554,Q14973,9606.ENSP00000216540
327,EIF5,1983,,9606.ENSP00000216554
328,BDKRB1,623,P46663,9606.ENSP00000216629
329,VRK1,7443,,9606.ENSP00000216639
330,APEX1,328,,9606.ENSP00000216714
331,PABPN1,8106,,9606.ENSP00000216727
332,EFS,10278,,9606.ENSP00000216733
333,CINP,51550,,9606.ENSP00000216756
334,PCK2,5106,Q16822,9606.ENSP00000216780
335,NFKBIA,4792,P25963,9606.ENSP00000216797
336,PSME2,5721,,9606.ENSP00000216802
337,BRMS1L,84312,,9606.ENSP00000216807
338,PNN,5411,,9606.ENSP00000216832
339,CYP24A1,1591,Q07973,9606.ENSP00000216862
340,AURKA,6790,O14965,9606.ENSP00000216911
341,ZFP64,55734,,9606.ENSP00000216923
342,PYGB,5834,,9606.ENSP00000216962
343,PROCR,10544,Q9UNN8,9606.ENSP00000216968
344,MYBL2,4605,,9606.ENSP00000217026
345,SALL4,57167,,9606.ENSP00000217086
346,CSTF1,1477,,9606.ENSP00000217109
347,TPD52L2,7165,,9606.ENSP00000217121
348,CTSZ,1522,,9606.ENSP00000217131
349,TUBB1,81027,Q9H4B7,9606.ENSP00000217133
350,SLCO4A1,28231,,9606.ENSP00000217159
351,BIRC7,79444,,9606.ENSP00000217169
352,EEF1A2,1917,,9606.ENSP00000217182
353,SRMS,6725,Q9H3Y6,9606.ENSP00000217188
354,CSNK2A1,1457,P68400,9606.ENSP00000217244
355,MACROD2,140733,,9606.ENSP00000217246
356,RSPO4,343637,,9606.ENSP00000217260
357,PROKR2,128674,,9606.ENSP00000217270
358,FERMT1,55612,,9606.ENSP00000217289
359,CDK5RAP1,51654,,9606.ENSP00000217372
360,SNTA1,6640,,9606.ENSP00000217381
361,OXT,5020,,9606.ENSP00000217386
362,CHMP4B,128866,,9606.ENSP00000217402
363,LBP,3929,,9606.ENSP00000217407
364,SLC32A1,140679,,9606.ENSP00000217420
365,CST4,1472,,9606.ENSP00000217423
366,AHCY,191,,9606.ENSP00000217426
367,PIGU,128869,,9606.ENSP00000217446
368,ACOT8,10005,,9606.ENSP00000217455
369,RNF125,54941,,9606.ENSP00000217740
370,IDH3G,,P51553,9606.ENSP00000217901
371,SLC25A43,203427,,9606.ENSP00000217909
372,MXRA5,25878,,9606.ENSP00000217939
373,PSMD10,5716,,9606.ENSP00000217958
374,STS,412,P08842,9606.ENSP00000217961
375,PGRMC1,10857,O00264,9606.ENSP00000217971
376,RHOXF1,158800,,9606.ENSP00000217999
377,PAGE4,9506,,9606.ENSP00000218068
378,GLRA2,2742,P23416,9606.ENSP00000218075
379,STAG2,10735,,9606.ENSP00000218089
380,F9,2158,,9606.ENSP00000218099
381,ABCD1,215,,9606.ENSP00000218104
382,KCND1,,Q9NSA2,9606.ENSP00000218176
383,PCSK1N,27344,,9606.ENSP00000218230
384,RAB40AL,282808,,9606.ENSP00000218249
385,GPR50,9248,,9606.ENSP00000218316
386,RP2,6102,,9606.ENSP00000218340
387,USP11,8237,,9606.ENSP00000218348
388,TIMP1,7076,,9606.ENSP00000218388
389,GLA,2717,P06280,9606.ENSP00000218516
390,ATP12A,479,,9606.ENSP00000218548
391,HK,,Q02155,9606.ENSP00000218548
392,MLNR,,O43193,9606.ENSP00000218721
393,ACP5,54,,9606.ENSP00000218758
394,TRAP,100187907,,9606.ENSP00000218758
395,SGCG,6445,,9606.ENSP00000218867
396,OLFM4,10562,,9606.ENSP00000219022
397,NTHL1,4913,,9606.ENSP00000219066
398,ZNF263,10127,,9606.ENSP00000219069
399,MMP2,4313,P08253,9606.ENSP00000219070
400,ORC6,23594,,9606.ENSP00000219097
401,CORO1A,11151,,9606.ENSP00000219150
402,MT4,84560,,9606.ENSP00000219162
403,NUTF2,10204,,9606.ENSP00000219169
404,CBLN1,,,9606.ENSP00000219197
405,ARL2BP,23568,,9606.ENSP00000219204
406,CCL22,6367,,9606.ENSP00000219235
407,DHODH,1723,Q02127,9606.ENSP00000219240
408,CCL17,6361,,9606.ENSP00000219244
409,POLR2C,5432,,9606.ENSP00000219252
410,PARD6A,50855,,9606.ENSP00000219255
411,MMP15,4324,,9606.ENSP00000219271
412,USB1,79650,,9606.ENSP00000219281
413,NME3,4832,,9606.ENSP00000219302
414,PSMD7,5713,,9606.ENSP00000219313
415,SETD6,79918,,9606.ENSP00000219315
416,SMPD3,55512,,9606.ENSP00000219334
417,PLA2G15,23659,,9606.ENSP00000219345
418,FA2H,79152,,9606.ENSP00000219368
419,CMC2,56942,,9606.ENSP00000219400
420,PDIA2,64714,,9606.ENSP00000219406
421,ARHGDIG,398,,9606.ENSP00000219409
422,MPG,4350,P29372,9606.ENSP00000219431
423,TSC2,7249,,9606.ENSP00000219476
424,NME4,4833,,9606.ENSP00000219479
425,STUB1,10273,,9606.ENSP00000219548
426,MEFV,4210,,9606.ENSP00000219596
427,CRYM,1428,,9606.ENSP00000219599
428,CAPN15,6650,,9606.ENSP00000219611
429,AQP8,343,,9606.ENSP00000219660
430,TOX3,27324,,9606.ENSP00000219746
431,MAZ,4150,,9606.ENSP00000219782
432,CDIPT,10423,,9606.ENSP00000219789
433,SLC6A2,6530,P23975,9606.ENSP00000219833
434,MGA,23269,,9606.ENSP00000219905
435,AQP9,366,,9606.ENSP00000219919
436,CSK,1445,P41240,9606.ENSP00000220003
437,MTFMT,123263,,9606.ENSP00000220058
438,RASL12,51285,,9606.ENSP00000220062
439,CTSH,1512,,9606.ENSP00000220166
440,TGM5,9333,O43548,9606.ENSP00000220420
441,GABPB1,2553,,9606.ENSP00000220429
442,SCG3,29106,,9606.ENSP00000220478
443,DNAJC17,55192,,9606.ENSP00000220496
444,RHOV,171177,,9606.ENSP00000220507
445,VPS18,57617,,9606.ENSP00000220509
446,OIP5,11339,,9606.ENSP00000220514
447,EXTL3,2137,,9606.ENSP00000220562
448,AGO2,27161,,9606.ENSP00000220592
449,PAG1,55824,,9606.ENSP00000220597
450,TG,7038,,9606.ENSP00000220616
451,BRF2,55290,,9606.ENSP00000220659
452,RP1,6101,,9606.ENSP00000220676
453,RIPK2,8767,O43353,9606.ENSP00000220751
454,CPQ,10404,,9606.ENSP00000220763
455,DECR1,1666,,9606.ENSP00000220764
456,SFRP1,6422,,9606.ENSP00000220772
457,PLAT,5327,P00750,9606.ENSP00000220809
458,DKK4,27121,,9606.ENSP00000220812
459,GDAP1,54332,,9606.ENSP00000220822
460,EIF3E,3646,,9606.ENSP00000220849
461,EMC2,9694,,9606.ENSP00000220853
462,CHRAC1,54108,,9606.ENSP00000220913
463,GML,2765,,9606.ENSP00000220940
464,DCTN6,10671,,9606.ENSP00000221114
465,GSR,2936,P00390,9606.ENSP00000221130
466,TNFRSF10A,8797,,9606.ENSP00000221132
467,PPP2CB,,P62714,9606.ENSP00000221138
468,NEFM,4741,,9606.ENSP00000221166
469,KCTD9,54793,,9606.ENSP00000221200
470,EXOSC5,56915,,9606.ENSP00000221233
471,PAF1,54623,,9606.ENSP00000221265
472,CYP4F3,4051,,9606.ENSP00000221307
473,ZNF432,9668,,9606.ENSP00000221315
474,DHDH,27294,,9606.ENSP00000221403
475,HNRNPL,3191,,9606.ENSP00000221419
476,KCNA7,,,9606.ENSP00000221444
477,RELB,5971,Q01201,9606.ENSP00000221452
478,CKM,1158,P06732,9606.ENSP00000221476
479,SLC17A7,57030,,9606.ENSP00000221485
480,RNASEH2A,10535,,9606.ENSP00000221486
481,SF3A2,8175,,9606.ENSP00000221494
482,AMH,268,,9606.ENSP00000221496
483,DKKL1,27120,,9606.ENSP00000221498
484,RETN,56729,,9606.ENSP00000221515
485,RSPH6A,81492,,9606.ENSP00000221538
486,TLE5,166,,9606.ENSP00000221561
487,SGTA,6449,,9606.ENSP00000221566
488,SNAPC2,6618,,9606.ENSP00000221573
489,CYP4F2,8529,P78329,9606.ENSP00000221700
490,EPHX3,79852,,9606.ENSP00000221730
491,SLC1A6,6511,,9606.ENSP00000221742
492,LGALS13,29124,,9606.ENSP00000221797
493,FBL,2091,,9606.ENSP00000221801
494,CLC,1178,,9606.ENSP00000221804
495,EBI3,10148,,9606.ENSP00000221847
496,FSD1,79187,,9606.ENSP00000221856
497,APLP1,,P51693,9606.ENSP00000221891
498,TGFB1,7040,P01137,9606.ENSP00000221930
499,CEACAM4,1089,,9606.ENSP00000221954
500,PLIN3,10226,,9606.ENSP00000221957
501,CD79A,973,,9606.ENSP00000221972
502,LIM2,3982,,9606.ENSP00000221973
503,ICAM5,7087,,9606.ENSP00000221980
504,CEACAM5,1048,,9606.ENSP00000221992
505,CRX,1406,,9606.ENSP00000221996
506,SULT2A1,6822,Q06520,9606.ENSP00000222002
507,CDC37,11140,,9606.ENSP00000222005
508,RABAC1,10567,,9606.ENSP00000222008
509,CNFN,84518,,9606.ENSP00000222032
510,ZNRF4,148066,,9606.ENSP00000222033
511,HAS1,3036,,9606.ENSP00000222115
512,RAB3D,9545,,9606.ENSP00000222120
513,DBP,1628,,9606.ENSP00000222122
514,EPOR,2057,P19235,9606.ENSP00000222139
515,RASIP1,54922,,9606.ENSP00000222145
516,DNASE2,1777,,9606.ENSP00000222219
517,RPL18A,6142,,9606.ENSP00000222247
518,SLC5A5,6528,,9606.ENSP00000222248
519,PIK3R2,5296,,9606.ENSP00000222254
520,RAB3A,5864,,9606.ENSP00000222256
521,COMP,1311,,9606.ENSP00000222271
522,TMEM147,10430,,9606.ENSP00000222284
523,GAPDHS,26330,O14556,9606.ENSP00000222286
524,USF2,7392,,9606.ENSP00000222305
525,ERF,2077,,9606.ENSP00000222329
526,GSK3A,2931,P49840,9606.ENSP00000222330
527,SIPA1L3,23094,,9606.ENSP00000222345
528,CADM4,199731,,9606.ENSP00000222374
529,PON1,5444,P27169,9606.ENSP00000222381
530,CYP3A43,64816,Q9HB55,9606.ENSP00000222382
531,ABCF2,10061,,9606.ENSP00000222388
532,HGF,3082,P14210,9606.ENSP00000222390
533,LAMB1,3912,,9606.ENSP00000222399
534,WNT16,51384,,9606.ENSP00000222462
535,CPA2,,,9606.ENSP00000222481
536,CPA4,51200,,9606.ENSP00000222482
537,TFPI2,7980,,9606.ENSP00000222543
538,BET1,10282,,9606.ENSP00000222547
539,NAMPT,10135,,9606.ENSP00000222553
540,ITGB8,3696,,9606.ENSP00000222573
541,HBP1,26959,,9606.ENSP00000222574
542,SP4,6671,,9606.ENSP00000222584
543,MPP6,51678,,9606.ENSP00000222644
544,NPVF,64111,,9606.ENSP00000222674
545,CAV2,858,,9606.ENSP00000222693
546,HOXA2,3199,,9606.ENSP00000222718
547,LFNG,3955,,9606.ENSP00000222725
548,HOXA5,3202,,9606.ENSP00000222726
549,HOXA6,3203,,9606.ENSP00000222728
550,TSPAN12,23554,,9606.ENSP00000222747
551,CHN2,1124,,9606.ENSP00000222792
552,ABHD11,83451,,9606.ENSP00000222800
553,FKBP14,55033,,9606.ENSP00000222803
554,STX1A,6804,,9606.ENSP00000222812
555,NOD1,10392,,9606.ENSP00000222823
556,PDAP1,11333,,9606.ENSP00000222968
557,CYP3A5,1577,P20815,9606.ENSP00000222982
558,SNX8,29886,,9606.ENSP00000222990
559,WASL,8976,,9606.ENSP00000223023
560,AIMP2,7965,,9606.ENSP00000223029
561,PCOLCE,5118,,9606.ENSP00000223061
562,RBM28,55131,,9606.ENSP00000223073
563,SERPINE1,5054,P05121,9606.ENSP00000223095
564,PLOD3,8985,O60568,9606.ENSP00000223127
565,RPA3,6119,,9606.ENSP00000223129
566,FIS1,51024,,9606.ENSP00000223136
567,GLCCI1,113263,,9606.ENSP00000223145
568,CEP41,95681,,9606.ENSP00000223208
569,MEST,4232,,9606.ENSP00000223215
570,PSMA2,5683,,9606.ENSP00000223321
571,AEBP1,165,,9606.ENSP00000223357
572,MYL7,58498,,9606.ENSP00000223364
573,GCK,2645,,9606.ENSP00000223366
574,YKT6,10652,,9606.ENSP00000223369
575,CLIP2,7461,,9606.ENSP00000223398
576,CHMP5,51510,,9606.ENSP00000223500
577,FKTN,2218,,9606.ENSP00000223528
