ID,GeneName,GeneID,UniProtID,STRING_ID
2386,ABCB4,5244,,9606.ENSP00000265723
2387,ADAM22,53616,,9606.ENSP00000265727
2388,DBF4,10926,,9606.ENSP00000265728
2389,SRI,6717,P30626,9606.ENSP00000265729
2390,CDK6,1021,Q00534,9606.ENSP00000265734
2391,ANKIB1,54467,,9606.ENSP00000265742
2392,ANLN,54443,,9606.ENSP00000265748
2393,ADAM28,10863,,9606.ENSP00000265769
2394,SH2D4A,63898,,9606.ENSP00000265807
2395,ACAT1,38,P24752,9606.ENSP00000265838
2396,EXPH5,23086,,9606.ENSP00000265843
2397,PMS2,5395,,9606.ENSP00000265849
2398,HNRNPH3,3189,,9606.ENSP00000265866
2399,CCAR1,55749,,9606.ENSP00000265872
2400,SQLE,6713,Q14534,9606.ENSP00000265896
2401,SNX19,399979,,9606.ENSP00000265909
2402,BRINP1,1620,,9606.ENSP00000265922
2403,MAPKAP1,79109,,9606.ENSP00000265960
2404,GTF2H1,2965,,9606.ENSP00000265963
2405,HPS5,11234,,9606.ENSP00000265967
2406,KCNC1,3746,P48547,9606.ENSP00000265969
2407,PIK3C2A,5286,,9606.ENSP00000265970
2408,HPX,3263,,9606.ENSP00000265983
2409,IDE,3416,P14735,9606.ENSP00000265986
2410,BTAF1,9044,,9606.ENSP00000265990
2411,CPEB3,22849,,9606.ENSP00000265997
2412,DAXX,1616,,9606.ENSP00000266000
2413,GLT8D1,55830,,9606.ENSP00000266014
2414,RBM6,10180,,9606.ENSP00000266022
2415,HYAL1,3373,,9606.ENSP00000266031
2416,DOCK3,1795,,9606.ENSP00000266037
2417,ITIH4,3700,Q14624,9606.ENSP00000266041
2418,SLIT1,6585,,9606.ENSP00000266058
2419,SFRP5,6425,,9606.ENSP00000266066
2420,DIDO1,11083,,9606.ENSP00000266070
2421,SLC2A4RG,56731,,9606.ENSP00000266077
2422,PRPF6,24148,,9606.ENSP00000266079
2423,TIMP3,7078,,9606.ENSP00000266085
2424,SLC5A4,6527,,9606.ENSP00000266086
2425,FBXO7,25793,,9606.ENSP00000266087
2426,SLC5A1,6523,P13866,9606.ENSP00000266088
2427,EIF2B2,8892,,9606.ENSP00000266126
2428,TTLL1,25809,,9606.ENSP00000266254
2429,MTFP1,51537,,9606.ENSP00000266263
2430,PATZ1,23598,,9606.ENSP00000266269
2431,TEF,7008,,9606.ENSP00000266304
2432,CACNA1C,775,Q13936,9606.ENSP00000266376
2433,B4GALNT3,283358,,9606.ENSP00000266383
2434,PDE6H,,Q13956,9606.ENSP00000266395
2435,ALG10,84920,,9606.ENSP00000266483
2436,ARNTL2,56938,,9606.ENSP00000266503
2437,PLCZ1,89869,,9606.ENSP00000266505
2438,ZCRB1,85437,,9606.ENSP00000266529
2439,TMEM117,84216,,9606.ENSP00000266534
2440,NDUFA9,4704,,9606.ENSP00000266544
2441,CLSTN3,9746,,9606.ENSP00000266546
2442,KLRG1,10219,,9606.ENSP00000266551
2443,CD27,939,,9606.ENSP00000266557
2444,RBP5,83758,,9606.ENSP00000266560
2445,SLC38A4,55089,,9606.ENSP00000266579
2446,AMIGO2,347902,,9606.ENSP00000266581
2447,INHBE,83729,,9606.ENSP00000266646
2448,GLIPR1,11010,,9606.ENSP00000266659
2449,PHLDA1,22822,,9606.ENSP00000266671
2450,LGR5,8549,,9606.ENSP00000266674
2451,CPSF6,11052,,9606.ENSP00000266679
2452,SLC6A15,55117,,9606.ENSP00000266682
2453,TMTC3,160418,,9606.ENSP00000266712
2454,LUM,4060,,9606.ENSP00000266718
2455,KERA,11081,,9606.ENSP00000266719
2456,TMPO,7112,,9606.ENSP00000266732
2457,SNRPF,6636,,9606.ENSP00000266735
2458,ASCL1,429,,9606.ENSP00000266744
2459,CDK2,1017,P24941,9606.ENSP00000266970
2460,TARBP2,6895,,9606.ENSP00000266987
2461,ITGB7,3695,,9606.ENSP00000267082
2462,CSAD,51380,Q9Y600,9606.ENSP00000267085
2463,ERBB3,2065,,9606.ENSP00000267101
2464,C12orf10,60314,,9606.ENSP00000267103
2465,ESYT1,23344,,9606.ENSP00000267113
2466,KRT71,112802,,9606.ENSP00000267119
2467,RB1,5925,,9606.ENSP00000267163
2468,VPS33A,65082,,9606.ENSP00000267199
2469,RHOF,54509,,9606.ENSP00000267205
2470,PXN,5829,,9606.ENSP00000267257
2471,SRRM4,84530,,9606.ENSP00000267260
2472,METTL21C,196541,,9606.ENSP00000267273
2473,ZIC5,85416,,9606.ENSP00000267294
2474,SSTR1,6751,,9606.ENSP00000267377
2475,TINF2,26277,,9606.ENSP00000267415
2476,NOP9,161424,,9606.ENSP00000267425
2477,FANCM,57697,,9606.ENSP00000267430
2478,L2HGDH,79944,,9606.ENSP00000267436
2479,RTN1,6252,,9606.ENSP00000267484
2480,ARMH4,145407,,9606.ENSP00000267485
2481,GPR65,8477,,9606.ENSP00000267549
2482,JDP2,122953,Q8WYK2,9606.ENSP00000267569
2483,ITPK1,3705,,9606.ENSP00000267615
2484,TRIP11,9321,,9606.ENSP00000267622
2485,DUOXA1,90527,,9606.ENSP00000267803
2486,MFAP1,4236,,9606.ENSP00000267812
2487,SORD,6652,,9606.ENSP00000267814
2488,SLC27A2,11001,O14975,9606.ENSP00000267842
2489,FGF7,2252,,9606.ENSP00000267843
2490,HDC,3067,,9606.ENSP00000267845
2491,GCOM1,145781,,9606.ENSP00000267853
2492,SRP14,,P37108,9606.ENSP00000267884
2493,TTBK2,146057,,9606.ENSP00000267890
2494,COMMD4,54939,,9606.ENSP00000267935
2495,UBE2Q2,92912,,9606.ENSP00000267938
2496,BCL2A1,597,,9606.ENSP00000267953
2497,TSPAN3,10099,,9606.ENSP00000267970
2498,TLNRD1,59274,,9606.ENSP00000267984
2499,CYP11A1,1583,P05108,9606.ENSP00000268053
2500,BBS4,585,,9606.ENSP00000268057
2501,PML,5371,P29590,9606.ENSP00000268058
2502,ADAMTS17,170691,,9606.ENSP00000268070
2503,SCAMP2,10066,,9606.ENSP00000268099
2504,RHCG,51458,,9606.ENSP00000268122
2505,RLBP1,6017,,9606.ENSP00000268125
2506,ABHD2,11057,,9606.ENSP00000268129
2507,TICRR,90381,,9606.ENSP00000268138
2508,MFGE8,4240,,9606.ENSP00000268150
2509,ST8SIA2,8128,,9606.ENSP00000268164
2510,IQGAP1,8826,P46940,9606.ENSP00000268182
2511,CRTC3,64784,,9606.ENSP00000268184
2512,EFL1,79631,Q7Z2Z2,9606.ENSP00000268206
2513,PMM2,5373,,9606.ENSP00000268261
2514,UQCRC2,7385,,9606.ENSP00000268379
2515,CDR2,1039,,9606.ENSP00000268383
2516,IGSF6,10261,,9606.ENSP00000268389
2517,NKD1,85407,,9606.ENSP00000268459
2518,DHX38,9785,,9606.ENSP00000268482
2519,NUDT7,283927,,9606.ENSP00000268533
